iri	label	type	definition	comment	example	domain_iris	range_iris	parent_iris
https://w3id.org/emi#hasFeatureArea	has feature area	http://www.w3.org/2002/07/owl#DatatypeProperty		Assign a feature area to a MS2 spectrum.	"@prefix emi: <https://w3id.org/emi#> .\n@prefix usi: <https://metabolomics-usi.ucsd.edu/dashinterface/?usi1=> .\nusi:mzspec%3AMSV000087728%3AVGF153_A02_features_ms2_neg.mgf%3Ascan%3A356 rdf:type emi:LCMSFeature ;\n            emi:hasFeatureArea ""1180836.665658199""^^xsd:double ."		http://www.w3.org/2001/XMLSchema#double	
https://w3id.org/emi#hasFinalScore	has final score	http://www.w3.org/2002/07/owl#DatatypeProperty		An ISDB score.		https://w3id.org/emi#StructuralAnnotation	http://www.w3.org/2001/XMLSchema#double	
https://w3id.org/emi#hasFirstMember	has first member	http://www.w3.org/2002/07/owl#ObjectProperty		The first member of a spectral pair.		https://w3id.org/emi#LFpair	https://w3id.org/emi#LCMSFeature	
https://w3id.org/emi#hasGNPSLCMSLink	has GNPS LCMS link	http://www.w3.org/2002/07/owl#DatatypeProperty		It relates  GNPS LCMS link to a LCMS Analysis.	"@prefix emi: <https://w3id.org/emi#> .\n@prefix : <https://w3id.org/emi/abox#> .\n@prefix usi: <https://metabolomics-usi.ucsd.edu/dashinterface/?usi1=> .\n:VGF138_A02_neg.mzXML rdf:type emi:LCMSAnalysis ;\n            emi:hasGNPSLCMSLink ""https://dashboard.gnps2.org/?usi=mzspec%3AMSV000087728%3AVGF138_A02_neg.mzXML""^^xsd:anyURI ."	https://w3id.org/emi#LCMSAnalysis	http://www.w3.org/2001/XMLSchema#anyURI	
https://w3id.org/emi#hasHabitat	has habitat	http://www.w3.org/2002/07/owl#ObjectProperty		It can be used to assign a habitat to an interaction system such as from GloBI. When applicable, we recommend to state ENVO or CMECS vocabulary terms.		https://w3id.org/emi#Interaction	https://w3id.org/emi#Habitat	
https://w3id.org/emi#hasInChIKey	has InChIKey	http://www.w3.org/2002/07/owl#ObjectProperty		It can be used to assign an InChIKey either to a chemical or to an spectrum annotation.	"@prefix : <https://w3id.org/emi/abox#> .\n@prefix emi: <https://w3id.org/emi#> .\n@prefix wd: <http://www.wikidata.org/entity/> .\nwd:Q27145340 rdf:type emi:Chemical ;\n            dcterms:identifier ""Q27145340"" ;\n            emi:hasInChIKey :ZCCLDKGWJIREQF-PDBXOOCHSA-N ."		https://w3id.org/emi#InChIKey	
https://w3id.org/emi#hasInChIKey2D	has InChIKey2D	http://www.w3.org/2002/07/owl#ObjectProperty		It can be used to represent the InChIKey2D of an emi:InChIKey that is chemical structure.	@prefix : <https://w3id.org/emi/abox#> .\n@prefix emi: <https://w3id.org/emi#> .\n@prefix wd: <http://www.wikidata.org/entity/> .\n:ZCCLDKGWJIREQF-PDBXOOCHSA-N  rdf:type emi:InChIKey ;\n            emi:hasInChIKey2D :ZCCLDKGWJIREQF .	https://w3id.org/emi#InChIKey	https://w3id.org/emi#InChIKey2D	
https://w3id.org/emi#hasIonization	hasIonization	http://www.w3.org/2002/07/owl#DatatypeProperty				http://org.semanticweb.owlapi/error#Error1	http://www.w3.org/2001/XMLSchema#string	
https://w3id.org/emi#hasLCMSFeature	has LCMS feature	http://www.w3.org/2002/07/owl#ObjectProperty		It relates a LCMS feature set to a feature.	@prefix emi: <https://w3id.org/emi#> .\n@prefix : <https://w3id.org/emi/abox#> .\n@prefix usi: <https://metabolomics-usi.ucsd.edu/dashinterface/?usi1=> .\n:VGF153_A02_lcms_feature_list_neg rdf:type emi:LCMSFeatureSet ;\n            emi:hasLCMSFeature usi:mzspec%3AMSV000087728%3AVGF153_A02_features_ms2_neg.mgf%3Ascan%3A1 .	https://w3id.org/emi#LCMSFeatureSet	https://w3id.org/emi#LCMSFeature	
https://w3id.org/emi#hasLCMSFeatureSet	has LCMS feature set	http://www.w3.org/2002/07/owl#ObjectProperty		It relates a LCMS analysis to a set of features.	@prefix emi: <https://w3id.org/emi#> .\n:VGF138_A02_neg.mzXML rdf:type emi:LCMSAnalysis ;\n            emi:hasLCMSFeatureSet :VGF153_A02_lcms_feature_list_neg .	https://w3id.org/emi#LCMSAnalysis	https://w3id.org/emi#LCMSFeatureSet	
https://w3id.org/emi#hasMassDifference	has Mass difference	http://www.w3.org/2002/07/owl#DatatypeProperty				https://w3id.org/emi#SpectralPair	http://www.w3.org/2001/XMLSchema#double	
https://w3id.org/emi#hasMassiveDOI	has Massive DOI.	http://www.w3.org/2002/07/owl#ObjectProperty		It assigns a Massive repository DOI to a LCMS Analysis.	@prefix emi: <https://w3id.org/emi#> .\n@prefix : <https://w3id.org/emi/abox#> .\n@prefix usi: <https://metabolomics-usi.ucsd.edu/dashinterface/?usi1=> .\n:VGF138_A02_neg.mzXML rdf:type emi:LCMSAnalysis ;\n            emi:hasMassiveDOI <https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000087728> .	https://w3id.org/emi#LCMSAnalysis		
https://w3id.org/emi#hasPairMember	has pair member	http://www.w3.org/2002/07/owl#ObjectProperty		LCMSFeature		https://w3id.org/emi#SpectralPair	https://w3id.org/emi#MS2Spectrum	
https://w3id.org/emi#hasParentMass	has parent mass	http://www.w3.org/2002/07/owl#DatatypeProperty		The parent mass of a LCMS feature.	"@prefix emi: <https://w3id.org/emi#> .\n@prefix usi: <https://metabolomics-usi.ucsd.edu/dashinterface/?usi1=> .\nusi:mzspec%3AMSV000087728%3AVGF153_A02_features_ms2_neg.mgf%3Ascan%3A356 rdf:type emi:LCMSFeature ;\n            emi:hasParentMass ""833.447509765625""^^xsd:double ."	https://w3id.org/emi#LCMSFeature	http://www.w3.org/2001/XMLSchema#double	
https://w3id.org/emi#hasPathway	has pathway	http://www.w3.org/2002/07/owl#ObjectProperty			@prefix emi: <https://w3id.org/emi#> .\n@prefix : <https://w3id.org/emi/abox#> .\n@prefix npc: <https://w3id.org/emi/npc#> .\n:CANOPUS-mzspec%3AMSV000087728%3AVGF147_E06_features_ms2_neg.mgf%3Ascan%3A45 rdf:type emi:ChemicalTaxonAnnotation ;\n            emi:hasPathway npc:TERPENOIDS .		https://w3id.org/emi/npc#Pathway	
https://w3id.org/emi#hasPathwayProbability	hasPathwayProbability	http://www.w3.org/2002/07/owl#DatatypeProperty			"@prefix : <https://w3id.org/emi/abox#> .\n@prefix emi: <https://w3id.org/emi#> .\n:CANOPUS-mzspec%3AMSV000087728%3AVGF147_E06_features_ms2_neg.mgf%3Ascan%3A45 rdf:type emi:ChemicalTaxonAnnotation ;\n            emi:hasPathwayProbability ""0.5601769685745239""^^xsd:double ."	https://w3id.org/emi#ChemicalTaxonAnnotation	http://www.w3.org/2001/XMLSchema#double	
https://w3id.org/emi#hasPhysiologicalStage	has physiological stage	http://www.w3.org/2002/07/owl#ObjectProperty		It can be used to assign a physiological stage to a source and/or target organism sample in an interaction system such as GloBI. When applicable, we recommend to state PATO vocabulary anatomical entity terms.		http://www.w3.org/ns/sosa/Sample	https://w3id.org/emi#PhysiologicalStage	
https://w3id.org/emi#hasProbability	has probability	http://www.w3.org/2002/07/owl#DatatypeProperty			"@prefix : <https://w3id.org/emi/abox#> .\n@prefix emi: <https://w3id.org/emi#> .\n:CANOPUS-mzspec%3AMSV000087728%3AVGF147_E06_features_ms2_neg.mgf%3Ascan%3A45 rdf:type emi:ChemicalTaxonAnnotation ;\n            emi:hasProbability ""0.5601769685745239""^^xsd:double ."		http://www.w3.org/2001/XMLSchema#double	
https://w3id.org/emi#hasRawSpectrum	hasRawSpectrum	http://www.w3.org/2002/07/owl#DatatypeProperty		The raw spectrum of a LCMS individual MS2 spectrum. Its value is a tuple of binary tuples (see vann:example).	"@prefix emi: <https://w3id.org/emi#> .\n@prefix usi: <https://metabolomics-usi.ucsd.edu/dashinterface/?usi1=> .\nusi:mzspec%3AMSV000087728%3AVGF153_A02_features_ms2_neg.mgf%3Ascan%3A356 rdf:type emi:LCMSFeature ;\n            emi:hasRawSpectrum ""((58.7747, 0.034375), (107.3847, 0.0453125), (177.2855, 0.0375), (185.9186, 0.0375), (243.0295, 0.484375), (257.0457, 0.21875), (270.0167, 0.0765625), (271.0244, 0.4375), (285.0398, 0.359375), (300.028, 0.15625), (313.0341, 0.171875), (314.0425, 1.0), (315.0507, 0.640625), (551.4942, 0.0453125), (619.0516, 0.0375), (675.5888, 0.0421875))"" ."	https://w3id.org/emi#LCMSFeature	http://www.w3.org/2001/XMLSchema#string	
https://w3id.org/emi#hasRelativeFeatureArea	has relative feature area	http://www.w3.org/2002/07/owl#DatatypeProperty		The relative feature area of a LCMS individual MS2 spectrum.	"@prefix emi: <https://w3id.org/emi#> .\n@prefix usi: <https://metabolomics-usi.ucsd.edu/dashinterface/?usi1=> .\nusi:mzspec%3AMSV000087728%3AVGF153_A02_features_ms2_neg.mgf%3Ascan%3A356 rdf:type emi:LCMSFeature ;\n            emi:hasRelativeFeatureArea ""0.0004294112935902454""^^xsd:double ."	https://w3id.org/emi#LCMSFeature	http://www.w3.org/2001/XMLSchema#double	
https://w3id.org/emi#hasRetentionTime	has retention time	http://www.w3.org/2002/07/owl#DatatypeProperty		The retention time of a LCMS individual MS2 spectrum.	"@prefix emi: <https://w3id.org/emi#> .\n@prefix usi: <https://metabolomics-usi.ucsd.edu/dashinterface/?usi1=> .\nusi:mzspec%3AMSV000087728%3AVGF153_A02_features_ms2_neg.mgf%3Ascan%3A356 rdf:type emi:LCMSFeature ;\n            emi:hasRetentionTime ""7.663716666666667""^^xsd:double ."	https://w3id.org/emi#LCMSFeature	http://www.w3.org/2001/XMLSchema#double	
https://w3id.org/emi#hasRowId	has row id	http://www.w3.org/2002/07/owl#DatatypeProperty		The row id of a LCMS individual MS2 spectrum.	"@prefix emi: <https://w3id.org/emi#> .\n@prefix usi: <https://metabolomics-usi.ucsd.edu/dashinterface/?usi1=> .\nusi:mzspec%3AMSV000087728%3AVGF153_A02_features_ms2_neg.mgf%3Ascan%3A356 rdf:type emi:LCMSFeature ;\n            emi:hasRowId ""356""^^xsd:integer ."	https://w3id.org/emi#LCMSFeature	http://www.w3.org/2001/XMLSchema#integer	
https://w3id.org/emi#hasSMILES	has SMILES	http://www.w3.org/2002/07/owl#DatatypeProperty		The simplified molecular-input line-entry system (SMILES) is a specification in the form of a line notation for describing the structure of chemical species using short ASCII strings.		https://w3id.org/emi#ChemicalStructure	http://www.w3.org/2001/XMLSchema#string	
https://w3id.org/emi#hasScore	has score	http://www.w3.org/2002/07/owl#DatatypeProperty			"@prefix emi: <https://w3id.org/emi#> .\n@prefix : <https://w3id.org/emi/abox#> .\n:spec2vec_doc_mzspec%3AMSV000087728%3AVGF153_A02_features_ms2_neg.mgf%3Ascan%3A356 rdf:type emi:Spec2VecDoc ;\n            emi:hasSpec2VecValue ""271.02""^^xsd:double ."			
https://w3id.org/emi#hasSecondMember	has second member	http://www.w3.org/2002/07/owl#ObjectProperty		The second member of a spectral pair.		https://w3id.org/emi#LFpair	https://w3id.org/emi#LCMSFeature	
https://w3id.org/emi#hasSex	has sex	http://www.w3.org/2002/07/owl#ObjectProperty		It can be used to assign a biological sex to a source and/or target organism sample in an interaction system such as GloBI. When applicable, we recommend to state PATO vocabulary biological sex terms.			https://w3id.org/emi#BiologicalSex	
https://w3id.org/emi#hasSource	has source	http://www.w3.org/2002/07/owl#ObjectProperty		An interaction system has a source sample that interacts with a target one. emi:hasSource should state the origin of an interaction.		https://w3id.org/emi#Interaction	http://www.w3.org/ns/sosa/Sample	
https://w3id.org/emi#hasSpec2VecDoc	has spec2vec documentation	http://www.w3.org/2002/07/owl#ObjectProperty			@prefix emi: <https://w3id.org/emi#> .\n@prefix : <https://w3id.org/emi/abox#> .\n@prefix usi: <https://metabolomics-usi.ucsd.edu/dashinterface/?usi1=> .\nusi:mzspec%3AMSV000087728%3AVGF153_A02_features_ms2_neg.mgf%3Ascan%3A356 rdf:type emi:LCMSFeature ;\n            emi:hasSpec2VecDoc :spec2vec_doc_mzspec%3AMSV000087728%3AVGF153_A02_features_ms2_neg.mgf%3Ascan%3A356 .	https://w3id.org/emi#LCMSFeature	https://w3id.org/emi#Spec2VecDoc	
https://w3id.org/emi#hasSpec2VecLoss	has spec2vec loss	http://www.w3.org/2002/07/owl#DatatypeProperty		The Spec2Vec losses of a Spec2Vec document.	"@prefix emi: <https://w3id.org/emi#> .\n@prefix : <https://w3id.org/emi/abox#> .\n:spec2vec_doc_mzspec%3AMSV000087728%3AVGF153_A02_features_ms2_neg.mgf%3Ascan%3A356 rdf:type emi:Spec2VecDoc ;\n            emi:hasSpec2VecLoss ""157.86""^^xsd:double ."	https://w3id.org/emi#Spec2VecDoc	http://www.w3.org/2001/XMLSchema#double	
https://w3id.org/emi#hasSpec2VecPeak	has spec2vec peak	http://www.w3.org/2002/07/owl#DatatypeProperty		The Spec2Vec peaks of a Spec2Vec document.	"@prefix emi: <https://w3id.org/emi#> .\n@prefix : <https://w3id.org/emi/abox#> .\n:spec2vec_doc_mzspec%3AMSV000087728%3AVGF153_A02_features_ms2_neg.mgf%3Ascan%3A356 rdf:type emi:Spec2VecDoc ;\n            emi:hasSpec2VecPeak ""271.02""^^xsd:double ."	https://w3id.org/emi#Spec2VecDoc	http://www.w3.org/2001/XMLSchema#double	
https://w3id.org/emi#hasSpec2VecValue	has spec2vec value	http://www.w3.org/2002/07/owl#DatatypeProperty		A mass spectral similarity scoring through learning of structural relationships. Spec2vec is a novel spectral similarity score inspired by a natural language processing algorithm -- Word2Vec. Where Word2Vec learns relationships between words in sentences, spec2vec does so for mass fragments and neutral losses in MS/MS spectra. The spectral similarity score is based on spectral embeddings learnt from the fragmental relationships within a large set of spectral data. Analysis and benchmarking of mass spectra similarity measures using gnps data set.	"@prefix emi: <https://w3id.org/emi#> .\n@prefix : <https://w3id.org/emi/abox#> .\n:spec2vec_doc_mzspec%3AMSV000087728%3AVGF153_A02_features_ms2_neg.mgf%3Ascan%3A356 rdf:type emi:Spec2VecDoc ;\n            emi:hasSpec2VecValue ""271.02""^^xsd:double ."	https://w3id.org/emi#Spec2VecDoc	http://www.w3.org/2001/XMLSchema#double	
https://w3id.org/emi#hasSpectralScore	has spectral score	http://www.w3.org/2002/07/owl#DatatypeProperty		An ISDB score.		https://w3id.org/emi#StructuralAnnotation	http://www.w3.org/2001/XMLSchema#double	
https://w3id.org/emi#hasSpectrum	has spectrum	http://www.w3.org/2002/07/owl#ObjectProperty		It assigns a MS2 spectrum to, for instance, a LCMS feature set. The domain is not defined to provide flexibility. For a LCMS feature set prefer to state the  emi:hasLCMSFeature property.	@prefix emi: <https://w3id.org/emi#> .\n@prefix : <https://w3id.org/emi/abox#> .\n@prefix usi: <https://metabolomics-usi.ucsd.edu/dashinterface/?usi1=> .\n:VGF153_A02_lcms_feature_list_neg rdf:type emi:LCMSFeatureSet ;\n            emi:hasSpectrum usi:mzspec%3AMSV000087728%3AVGF153_A02_features_ms2_neg.mgf%3Ascan%3A1 .		https://w3id.org/emi#MS2Spectrum	
https://w3id.org/emi#hasSuperClass	has super class	http://www.w3.org/2002/07/owl#ObjectProperty			@prefix emi: <https://w3id.org/emi#> .\n@prefix : <https://w3id.org/emi/abox#> .\n@prefix npc: <https://w3id.org/emi/npc#> .\n:CANOPUS-mzspec%3AMSV000087728%3AVGF147_E06_features_ms2_neg.mgf%3Ascan%3A45 rdf:type emi:ChemicalTaxonAnnotation ;\n            emi:hasSuperClass npc:SESQUITERPENOIDS .		https://w3id.org/emi/npc#Superclass	
https://w3id.org/emi#hasSuperClassProbability	hasSuperClassProbability	http://www.w3.org/2002/07/owl#DatatypeProperty			"@prefix : <https://w3id.org/emi/abox#> .\n@prefix emi: <https://w3id.org/emi#> .\n:CANOPUS-mzspec%3AMSV000087728%3AVGF147_E06_features_ms2_neg.mgf%3Ascan%3A45 rdf:type emi:ChemicalTaxonAnnotation ;\n            emi:hasSuperClassProbability ""0.34501510858535767""^^xsd:double ."	https://w3id.org/emi#ChemicalTaxonAnnotation	http://www.w3.org/2001/XMLSchema#double	
https://w3id.org/emi#hasTarget	has target	http://www.w3.org/2002/07/owl#ObjectProperty		An interaction system has a source sample that interacts with a target one. emi:hasTarget should state the target of an interaction.		https://w3id.org/emi#Interaction	http://www.w3.org/ns/sosa/Sample	
https://w3id.org/emi#hasTaxoScore	has taxo score	http://www.w3.org/2002/07/owl#DatatypeProperty		An ISDB score.		https://w3id.org/emi#StructuralAnnotation	http://www.w3.org/2001/XMLSchema#integer	
https://w3id.org/emi#hasUSI	has universal spectrum identifier	http://www.w3.org/2002/07/owl#DatatypeProperty		The universal spectrum identifier provided by GNPS.	"@prefix emi: <https://w3id.org/emi#> .\n@prefix usi: <https://metabolomics-usi.ucsd.edu/dashinterface/?usi1=> .\nusi:mzspec%3AMSV000087728%3AVGF153_A02_features_ms2_neg.mgf%3Ascan%3A356 rdf:type emi:LCMSFeature ;\n            emi:hasUSI ""mzspec:MSV000087728:VGF153_A02_features_ms2_neg.mgf:scan:356"" ."		http://www.w3.org/2001/XMLSchema#string	
https://w3id.org/emi#hasZodiacScore	has zodiac score	http://www.w3.org/2002/07/owl#DatatypeProperty				https://w3id.org/emi#StructuralAnnotation	http://www.w3.org/2001/XMLSchema#double	
https://w3id.org/emi#inChIKey	InChIKey value	http://www.w3.org/2002/07/owl#DatatypeProperty		The InChIKey data value, that is a textual representation of chemical structures. This value is composed of 27 characters and it is a condensed digital representation of the InChI.		https://w3id.org/emi#InChIKey	http://www.w3.org/2001/XMLSchema#string	
https://w3id.org/emi#inChIKey2D	InChIKey 2D value	http://www.w3.org/2002/07/owl#DatatypeProperty		The InChIKey 2D data value, that is a textual representation of chemical structures. This value is composed of the first 14 characters of its corresponding InChIKey of 27 character fixed length.		https://w3id.org/emi#InChIKey2D	http://www.w3.org/2001/XMLSchema#string	
https://w3id.org/emi#inTaxon	found in taxon	http://www.w3.org/2002/07/owl#ObjectProperty						
https://w3id.org/emi#isClassifiedWith	is classified with	http://www.w3.org/2002/07/owl#ObjectProperty		It is used to classify any individidual with an external controlled-vocabulary in case rdf:type is not the most suitable solution.	@prefix : <https://w3id.org/emi/abox#> .\n@prefix emi: <https://w3id.org/emi#> .\n@prefix npc: <https://w3id.org/emi/npc#> .\n:CANOPUS-mzspec%3AMSV000087728%3AVGF147_E06_features_ms2_neg.mgf%3Ascan%3A45 rdf:type emi:ChemicalTaxonAnnotation ;\n            emi:isClassifiedWith npc:CADINANE_SESQUITERPENOIDS .			
https://w3id.org/emi#isInChIKey2DOf	is InChIKey2D of	http://www.w3.org/2002/07/owl#ObjectProperty		It can be used to assign an InChIKey2D to an InChIKey that represents a chemical structure.	"@prefix : <https://w3id.org/emi/abox#> .\n@prefix emi: <https://w3id.org/emi#> .\n@prefix wd: <http://www.wikidata.org/entity/> .\n:ZCCLDKGWJIREQF-PDBXOOCHSA-N rdf:type emi:InChIKey2D ;\n            emi:isInChIKey2DOf :ZCCLDKGWJIREQF ;\n            rdfs:label ""ZCCLDKGWJIREQF"" .\n:ZCCLDKGWJIREQF-PDBXOOCHSA-N rdf:type emi:InChIKey. "	https://w3id.org/emi#InChIKey2D	https://w3id.org/emi#InChIKey	
https://w3id.org/emi#isInChIKeyOf	is InChIKey of	http://www.w3.org/2002/07/owl#ObjectProperty			"@prefix : <https://w3id.org/emi/abox#> .\n@prefix emi: <https://w3id.org/emi#> .\n@prefix wd: <http://www.wikidata.org/entity/> .\n@prefix dcterms: < http://purl.org/dc/terms/> .\nwd:Q27145340 rdf:type emi:Chemical ;\n             dcterms:identifier ""Q27145340"" .\n :ZCCLDKGWJIREQF-PDBXOOCHSA-N  emi:isInChIKeyOf wd:Q27145340 . "	https://w3id.org/emi#InChIKey		
https://w3id.org/emi#scientificName	scientific name	http://www.w3.org/2002/07/owl#DatatypeProperty				https://w3id.org/emi#Taxon	http://www.w3.org/2001/XMLSchema#string	
https://w3id.org/emi#spectrumLink	spectrum link	http://www.w3.org/2002/07/owl#DatatypeProperty				https://w3id.org/emi#GNPSConsensusSpectrum	http://www.w3.org/2001/XMLSchema#anyURI	
